DMP,,,,,,,,,,
Ca-Au,Morse,,Ha-Au,Morse,,C3-Au,Morse,,N1-Au,Morse
De,0.001705,,De,0.001025,,De,0.001112,,De,0.002398
a,1.171604,,a,1.536931,,a,0.737888,,a,2.002787
r0,4.66878,,r0,2.071054,,r0,5.27834,,r0,3.2824
kE,0.004681,,kE,0.004842,,kE,0.001211,,kE,0.019238
,,,,,,,,,,
Distance,V(r),,Distance,V(r),,Distance,V(r),,Distance,V(r)
1.7,,,1.7,,,1.7,,,1.7,
1.8,,,1.8,,,1.8,,,1.8,
1.9,,,1.9,,,1.9,,,1.9,
2,,,2,,,2,,,2,
2.1,,,2.1,,,2.1,,,2.1,
2.2,,,2.2,,,2.2,,,2.2,
2.3,,,2.3,,,2.3,,,2.3,
2.3,,,2.3,,,2.3,,,2.3,
2.4,,,2.4,,,2.4,,,2.4,
2.5,,,2.5,,,2.5,,,2.5,
3,,,3,,,3,,,3,
4,,,4,,,4,,,4,
5,,,5,,,5,,,5,
6,,,6,,,6,,,6,
7,,,7,,,7,,,7,
8,,,8,,,8,,,8,
9,,,9,,,9,,,9,
10,,,10,,,10,,,10,