DMP-Slab,,,,Xylyl-Slab,,,,DMP-Edge,,,,Xylyl-Edge,,,,DMP-Corner,,,,Xylyl-Corner,,,
Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename,Distance (Angstroms),Binding Energy (eV),Weights,Filename
2.1,0.570868568,,6,1.8,0.13966082,,5,1.7,0.625329088,,10,1.7,0.772361544,,6,1.7,0.4211998879,,5,1.7,0.297879984,,8
2.2,0.327772376,,5,1.9,-0.25343461,,3,1.8,-0.09556434399,,6,1.8,0.046611824,,5,1.8,-0.280349584,,4,1.8,-0.377196,,4
2.3,0.160922816,,3,2,-0.4469699,,1,1.9,-0.485813352,,3,1.9,-0.348467768,,3,1.9,-0.653975176,,3,1.9,-0.725070264,,3
2.4,0.044746992,,1,2.1,-0.52035802,,2,2,-0.669917776,,1,2,-0.537944056,,1,2,-0.823917784,,1,2,-0.871074152,,1
2.5,-0.036465,,2,2.2,-0.52491439,,4,2.1,-0.7309218,,2,2.1,-0.604630976,,2,2.1,-0.872652432,,2,2.1,-0.89770132,,2
2.6,-0.09341785602,,4,2.3,-0.49323859,,6,2.2,-0.721825576,,4,2.2,-0.60180884,,4,2.2,-0.853184304,,6,2.2,-0.857892896,,5
2.7,-0.133217032,,7,2.4,-0.44527639,,7,2.3,-0.67589212,,5,2.3,-0.562959896,,7,2.3,-0.7979517121,,7,2.3,-0.785747616,,6
2.8,-0.159888808,,8,2.5,-0.39244647,,8,2.3,-0.675892392,,7,3,-0.222064064,,8,3,-0.3486296081,,8,3,-0.302173096,,7
2.9,-0.176792112,,9,3,-0.18604781,,9,2.4,-0.614074272,,8,4,-0.06366010401,,9,4,-0.1086588321,,9,4,-0.08582184801,,15
3,-0.186495848,,10,4,-0.04957003999,,10,2.5,-0.547879128,,9,5,-0.02396306399,,10,5,-0.04594120805,,10,5,-0.03546744001,,9
3.1,-0.190214224,,18,5,-0.01760472999,,11,3,-0.28409516,,18,6,-0.009857823995,,11,6,-0.02355778402,,11,6,-0.01893786401,,10
3.2,-0.189595968,,19,6,-0.006976449997,,12,4,-0.08886172,,11,7,-0.004151264007,,12,7,-0.01375558404,,12,7,-0.012530768,,11
3.3,-0.186013592,,20,7,-0.003302780007,,13,5,-0.03690019997,,12,8,-0.001526871992,,13,8,-0.008727392028,,13,8,-0.00953142401,,12
4,-0.123559944,,11,8,-0.002096770004,,14,6,-0.01784428799,,13,9,-0.000172448005,,14,9,-0.005884448061,,14,9,-0.008110632007,,13
5,-0.04998965598,,12,9,-0.001722759998,,15,7,-0.009591535993,,14,10,0.0006338960147,,15,10,-0.004096320021,,15,10,-0.007198752015,,14
6,-0.01881097601,,13,10,-0.001558700007,,16,8,-0.005211519978,,15,,,,,,,,,,,,
7,-0.007634903991,,14,,,,,9,-0.00285110398,,16,,,,,,,,,,,,
8,-0.00371021601,,15,,,,,10,-0.001362719986,,17,,,,,,,,,,,,
9,-0.002383128018,,16,,,,,,,,,,,,,,,,,,,,
10,-0.001589024017,,17,,,,,,,,,,,,,,,,,,,,